MATURITY	BID	ASKED	CHG	ASKED YIELD
10/12/2021	0.013	0.003	-0.005	0.003
10/14/2021	0.040	0.030	+0.008	0.030
10/19/2021	0.043	0.033	-0.003	0.033
10/21/2021	0.048	0.038	+0.008	0.038
10/26/2021	0.040	0.030	-0.003	0.030
10/28/2021	0.033	0.023	+0.003	0.023
11/2/2021	0.023	0.013	-0.008	0.013
11/4/2021	0.033	0.023	-0.008	0.023
11/9/2021	0.020	0.010	-0.005	0.010
11/12/2021	0.033	0.023	-0.003	0.023
11/16/2021	0.028	0.018	+0.005	0.018
11/18/2021	0.020	0.010	+0.008	0.010
11/23/2021	0.033	0.023	+0.005	0.023
11/26/2021	0.033	0.023	-0.003	0.023
11/30/2021	0.035	0.025	-0.003	0.025
12/2/2021	0.065	0.055	+0.010	0.056
12/7/2021	0.070	0.060	n.a	0.061
12/9/2021	0.080	0.070	-0.005	0.071
12/16/2021	0.083	0.073	-0.005	0.074
12/23/2021	0.070	0.060	-0.005	0.061
12/30/2021	0.080	0.070	+0.003	0.071
1/6/2022	0.050	0.040	-0.003	0.041
1/13/2022	0.050	0.040	+0.003	0.041
1/20/2022	0.050	0.040	-0.003	0.041
1/27/2022	0.050	0.040	unch.	0.041
2/3/2022	0.055	0.045	+0.008	0.046
2/10/2022	0.055	0.045	+0.005	0.046
2/17/2022	0.058	0.048	+0.003	0.048
2/24/2022	0.058	0.048	unch.	0.048
3/3/2022	0.053	0.043	+0.005	0.043
3/10/2022	0.053	0.043	+0.010	0.043
3/17/2022	0.055	0.045	+0.008	0.046
3/24/2022	0.058	0.048	+0.013	0.048
3/31/2022	0.058	0.048	unch.	0.048
4/7/2022	0.063	0.053	-0.003	0.053
4/21/2022	0.055	0.045	+0.003	0.046
5/19/2022	0.063	0.053	+0.005	0.053
6/16/2022	0.068	0.058	+0.003	0.058
7/14/2022	0.075	0.065	+0.003	0.066
8/11/2022	0.078	0.068	+0.003	0.069
9/8/2022	0.083	0.073	unch.	0.074
10/6/2022	0.093	0.083	-0.003	0.084
