MATURITY	COUPON	BID	ASKED	CHG	ASKED YIELD
10/15/2021	2.875	100.0020	100.0060	-0.0180	0.0154
10/31/2021	1.250	100.0140	100.0200	-0.0080	0.0392
10/31/2021	1.500	100.0160	100.0220	-0.0100	0.1372
10/31/2021	2.000	100.0260	100.0320	-0.0140	0.033
11/15/2021	2.000	100.0540	100.0600	-0.0100	-0.029
11/15/2021	2.875	100.0800	100.0840	-0.0140	0.000
11/15/2021	8.000	100.2260	100.2320	-0.0400	0.131
11/30/2021	1.500	100.0560	100.0620	-0.0100	0.041
11/30/2021	1.750	100.0660	100.0720	-0.0140	0.057
11/30/2021	1.875	100.0740	100.0800	-0.0100	0.008
12/15/2021	2.625	100.1400	100.1440	-0.0160	0.033
12/31/2021	1.625	100.1040	100.1100	-0.0120	0.043
12/31/2021	2.000	100.1320	100.1360	-0.0120	0.023
12/31/2021	2.125	100.1400	100.1440	-0.0120	0.040
1/15/2022	2.500	100.1960	100.2020	-0.0140	0.048
1/31/2022	1.375	100.1240	100.1300	-0.0060	0.028
1/31/2022	1.500	100.1360	100.1420	-0.0080	0.024
1/31/2022	1.875	100.1720	100.1760	-0.0100	0.036
2/15/2022	2.000	100.2100	100.2140	-0.0100	0.037
2/15/2022	2.500	100.2640	100.2700	-0.0120	0.035
2/28/2022	1.125	100.1240	100.1300	-0.0100	0.067
2/28/2022	1.750	100.2020	100.2060	-0.0120	0.061
2/28/2022	1.875	100.2160	100.2220	-0.0140	0.064
3/15/2022	2.375	100.3100	100.3140	-0.6940	0.060
3/31/2022	0.375	100.0400	100.0440	-0.0060	0.074
3/31/2022	1.750	100.2460	100.2520	-0.0100	0.060
3/31/2022	1.875	100.2660	100.2720	-0.0100	0.051
4/15/2022	2.250	101.0300	101.0340	-0.0140	0.066
4/30/2022	0.125	100.0060	100.0120	-0.0040	0.054
4/30/2022	1.750	100.2920	100.2960	-0.0100	0.064
4/30/2022	1.875	100.3120	100.3160	-0.6920	0.076
5/15/2022	1.750	100.3120	100.3160	-0.6900	0.074
5/15/2022	2.125	101.0640	101.0700	-0.0120	0.067
5/31/2022	0.125	100.0040	100.0100	-0.0020	0.076
5/31/2022	1.750	101.0140	101.0200	-0.0100	0.073
5/31/2022	1.875	101.0400	101.0440	-0.0120	0.075
6/15/2022	1.750	101.0340	101.0400	-0.0120	0.082
6/30/2022	0.125	100.0060	100.0120	-0.0040	0.071
6/30/2022	1.750	101.0600	101.0640	-0.0100	0.072
6/30/2022	2.125	101.1420	101.1460	-0.0140	0.087
7/15/2022	1.750	101.0760	101.0820	-0.0100	0.090
7/31/2022	0.125	100.0040	100.0100	-0.0020	0.086
7/31/2022	1.875	101.1340	101.1400	-0.0100	0.081
